6,0,0
5.9659,1.5848e-17,0.25882
5.866,3.0616e-17,0.5
5.7071,4.3298e-17,0.70711
5.5,5.3029e-17,0.86603
5.2588,5.9146e-17,0.96593
5,6.1232e-17,1
4.7412,5.9146e-17,0.96593
4.5,5.3029e-17,0.86603
4.2929,4.3298e-17,0.70711
4.134,3.0616e-17,0.5
4.0341,1.5848e-17,0.25882
4,7.4988e-33,1.2246e-16
4.0341,-1.5848e-17,-0.25882
4.134,-3.0616e-17,-0.5
4.2929,-4.3298e-17,-0.70711
4.5,-5.3029e-17,-0.86603
4.7412,-5.9146e-17,-0.96593
5,-6.1232e-17,-1
5.2588,-5.9146e-17,-0.96593
5.5,-5.3029e-17,-0.86603
5.7071,-4.3298e-17,-0.70711
5.866,-3.0616e-17,-0.5
5.9659,-1.5848e-17,-0.25882
6,-1.4998e-32,-2.4493e-16
5.9319,3.1696e-17,0.51764
5.832,4.6464e-17,0.75882
5.673,5.9146e-17,0.96593
5.4659,6.8877e-17,1.1248
5.2247,7.4994e-17,1.2247
4.9659,7.708e-17,1.2588
4.7071,7.4994e-17,1.2247
4.4659,6.8877e-17,1.1248
4.2588,5.9146e-17,0.96593
4.0999,4.6464e-17,0.75882
4,3.1696e-17,0.51764
3.9659,1.5848e-17,0.25882
4,6.163e-33,1.1102e-16
4.0999,-1.4768e-17,-0.24118
4.2588,-2.745e-17,-0.44829
4.4659,-3.7181e-17,-0.60721
4.7071,-4.3298e-17,-0.70711
4.9659,-4.5384e-17,-0.74118
5.2247,-4.3298e-17,-0.70711
5.4659,-3.7181e-17,-0.60721
5.673,-2.745e-17,-0.44829
5.832,-1.4768e-17,-0.24118
5.9319,-3.0815e-32,-5.5511e-16
5.9659,1.5848e-17,0.25882
5.9319,3.1696e-17,0.51764
5.7321,6.1232e-17,1
5.5731,7.3914e-17,1.2071
5.366,8.3645e-17,1.366
5.1248,8.9762e-17,1.4659
4.866,9.1849e-17,1.5
4.6072,8.9762e-17,1.4659
4.366,8.3645e-17,1.366
4.1589,7.3914e-17,1.2071
4,6.1232e-17,1
3.9001,4.6464e-17,0.75882
3.866,3.0616e-17,0.5
3.9001,1.4768e-17,0.24118
4,6.163e-33,1.1102e-16
4.1589,-1.2682e-17,-0.20711
4.366,-2.2413e-17,-0.36603
4.6072,-2.853e-17,-0.46593
4.866,-3.0616e-17,-0.5
5.1248,-2.853e-17,-0.46593
5.366,-2.2413e-17,-0.36603
5.5731,-1.2682e-17,-0.20711
5.7321,0,-5.5511e-17
5.832,1.4768e-17,0.24118
5.866,3.0616e-17,0.5
5.832,4.6464e-17,0.75882
5.7321,6.1232e-17,1
5.4142,8.6596e-17,1.4142
5.2071,9.6327e-17,1.5731
4.9659,1.0244e-16,1.673
4.7071,1.0453e-16,1.7071
4.4483,1.0244e-16,1.673
4.2071,9.6327e-17,1.5731
4,8.6596e-17,1.4142
3.8411,7.3914e-17,1.2071
3.7412,5.9146e-17,0.96593
3.7071,4.3298e-17,0.70711
3.7412,2.745e-17,0.44829
3.8411,1.2682e-17,0.20711
4,6.163e-33,1.1102e-16
4.2071,-9.731e-18,-0.15892
4.4483,-1.5848e-17,-0.25882
4.7071,-1.7935e-17,-0.29289
4.9659,-1.5848e-17,-0.25882
5.2071,-9.731e-18,-0.15892
5.4142,-1.8489e-32,-2.2204e-16
5.5731,1.2682e-17,0.20711
5.673,2.745e-17,0.44829
5.7071,4.3298e-17,0.70711
5.673,5.9146e-17,0.96593
5.5731,7.3914e-17,1.2071
5.4142,8.6596e-17,1.4142
5,1.0606e-16,1.7321
4.7588,1.1217e-16,1.832
4.5,1.1426e-16,1.866
4.2412,1.1217e-16,1.832
4,1.0606e-16,1.7321
3.7929,9.6327e-17,1.5731
3.634,8.3645e-17,1.366
3.5341,6.8877e-17,1.1248
3.5,5.3029e-17,0.86603
3.5341,3.7181e-17,0.60721
3.634,2.2413e-17,0.36603
3.7929,9.731e-18,0.15892
4,6.163e-33,1.1102e-16
4.2412,-6.1171e-18,-0.0999
4.5,-8.2036e-18,-0.13397
4.7588,-6.1171e-18,-0.0999
5,-3.0815e-32,-4.4409e-16
5.2071,9.731e-18,0.15892
5.366,2.2413e-17,0.36603
5.4659,3.7181e-17,0.60721
5.5,5.3029e-17,0.86603
5.4659,6.8877e-17,1.1248
5.366,8.3645e-17,1.366
5.2071,9.6327e-17,1.5731
5,1.0606e-16,1.7321
4.5176,1.1829e-16,1.9319
4.2588,1.2038e-16,1.9659
4,1.1829e-16,1.9319
3.7588,1.1217e-16,1.832
3.5517,1.0244e-16,1.673
3.3928,8.9762e-17,1.4659
3.2929,7.4994e-17,1.2247
3.2588,5.9146e-17,0.96593
3.2929,4.3298e-17,0.70711
3.3928,2.853e-17,0.46593
3.5517,1.5848e-17,0.25882
3.7588,6.1171e-18,0.0999
4,0,0
4.2588,-2.0864e-18,-0.034074
4.5176,0,1.1102e-16
4.7588,6.1171e-18,0.0999
4.9659,1.5848e-17,0.25882
5.1248,2.853e-17,0.46593
5.2247,4.3298e-17,0.70711
5.2588,5.9146e-17,0.96593
5.2247,7.4994e-17,1.2247
5.1248,8.9762e-17,1.4659
4.9659,1.0244e-16,1.673
4.7588,1.1217e-16,1.832
4.5176,1.1829e-16,1.9319
4,1.2246e-16,2
3.7412,1.2038e-16,1.9659
3.5,1.1426e-16,1.866
3.2929,1.0453e-16,1.7071
3.134,9.1849e-17,1.5
3.0341,7.708e-17,1.2588
3,6.1232e-17,1
3.0341,4.5384e-17,0.74118
3.134,3.0616e-17,0.5
3.2929,1.7935e-17,0.29289
3.5,8.2036e-18,0.13397
3.7412,2.0864e-18,0.034074
4,0,0
4.2588,2.0864e-18,0.034074
4.5,8.2036e-18,0.13397
4.7071,1.7935e-17,0.29289
4.866,3.0616e-17,0.5
4.9659,4.5384e-17,0.74118
5,6.1232e-17,1
4.9659,7.708e-17,1.2588
4.866,9.1849e-17,1.5
4.7071,1.0453e-16,1.7071
4.5,1.1426e-16,1.866
4.2588,1.2038e-16,1.9659
4,1.2246e-16,2
3.4824,1.1829e-16,1.9319
3.2412,1.1217e-16,1.832
3.0341,1.0244e-16,1.673
2.8752,8.9762e-17,1.4659
2.7753,7.4994e-17,1.2247
2.7412,5.9146e-17,0.96593
2.7753,4.3298e-17,0.70711
2.8752,2.853e-17,0.46593
3.0341,1.5848e-17,0.25882
3.2412,6.1171e-18,0.0999
3.4824,-1.2326e-32,0
3.7412,-2.0864e-18,-0.034074
4,0,0
4.2412,6.1171e-18,0.0999
4.4483,1.5848e-17,0.25882
4.6072,2.853e-17,0.46593
4.7071,4.3298e-17,0.70711
4.7412,5.9146e-17,0.96593
4.7071,7.4994e-17,1.2247
4.6072,8.9762e-17,1.4659
4.4483,1.0244e-16,1.673
4.2412,1.1217e-16,1.832
4,1.1829e-16,1.9319
3.7412,1.2038e-16,1.9659
3.4824,1.1829e-16,1.9319
3,1.0606e-16,1.7321
2.7929,9.6327e-17,1.5731
2.634,8.3645e-17,1.366
2.5341,6.8877e-17,1.1248
2.5,5.3029e-17,0.86603
2.5341,3.7181e-17,0.60721
2.634,2.2413e-17,0.36603
2.7929,9.731e-18,0.15892
3,2.4652e-32,3.3307e-16
3.2412,-6.1171e-18,-0.0999
3.5,-8.2036e-18,-0.13397
3.7588,-6.1171e-18,-0.0999
4,-6.163e-33,-1.1102e-16
4.2071,9.731e-18,0.15892
4.366,2.2413e-17,0.36603
4.4659,3.7181e-17,0.60721
4.5,5.3029e-17,0.86603
4.4659,6.8877e-17,1.1248
4.366,8.3645e-17,1.366
4.2071,9.6327e-17,1.5731
4,1.0606e-16,1.7321
3.7588,1.1217e-16,1.832
3.5,1.1426e-16,1.866
